parent_id,child_id,x1,y1,x2,y2
0,1,0.0000000000,0.0000000000,-7.7312728566,3.1783812368
1,5,-7.7312728566,3.1783812368,2.5104162435,7.0259163794
5,6,2.5104162435,7.0259163794,4.4919609625,4.3825114679
6,7,4.4919609625,4.3825114679,4.3117297601,3.2111707671
7,24,4.3117297601,3.2111707671,-0.4575498451,2.3283010965
24,29,-0.4575498451,2.3283010965,0.6357254231,2.5355906936
24,42,-0.4575498451,2.3283010965,-2.1815555972,3.7341964868
42,44,-2.1815555972,3.7341964868,1.0364062204,6.3205906825
44,78,1.0364062204,6.3205906825,3.3612721010,4.8993935971
78,84,3.3612721010,4.8993935971,2.8585129850,3.1989440849
44,99,1.0364062204,6.3205906825,-0.0340655586,3.9013804281
42,52,-2.1815555972,3.7341964868,-2.1572481991,3.2526507570
7,62,4.3117297601,3.2111707671,3.9329602448,2.0967660062
62,69,3.9329602448,2.0967660062,-1.2475484569,-1.2488171231
62,76,3.9329602448,2.0967660062,2.9746930362,1.9226437863
6,8,4.4919609625,4.3825114679,6.1081301589,5.9641408622
8,10,6.1081301589,5.9641408622,8.4373473369,4.4913795099
10,23,8.4373473369,4.4913795099,8.1524830210,2.3386227490
23,37,8.1524830210,2.3386227490,9.6431883143,1.3756628294
23,94,8.1524830210,2.3386227490,7.4107719387,3.7241904315
94,98,7.4107719387,3.7241904315,6.2425001134,5.0905880309
10,58,8.4373473369,4.4913795099,7.6835648239,5.9652649313
58,96,7.6835648239,5.9652649313,7.8198664160,5.8899826072
8,31,6.1081301589,5.9641408622,4.3090145357,7.3022097430
5,25,2.5104162435,7.0259163794,-1.3421840367,5.9553188067
25,40,-1.3421840367,5.9553188067,-2.7142269317,5.2828537185
25,41,-1.3421840367,5.9553188067,-1.8291073906,7.9214985007
1,13,-7.7312728566,3.1783812368,-5.6019601299,6.3295148762
13,18,-5.6019601299,6.3295148762,-7.2286962984,5.3876578600
18,22,-7.2286962984,5.3876578600,-8.7548206368,1.2706013728
22,49,-8.7548206368,1.2706013728,-9.2768819720,3.4853975165
49,56,-9.2768819720,3.4853975165,-8.7611154275,3.0955940453
49,97,-9.2768819720,3.4853975165,-8.7566825090,4.2440650120
22,72,-8.7548206368,1.2706013728,-7.4346574105,2.3285226302
18,45,-7.2286962984,5.3876578600,-5.8541848957,6.3024641929
45,77,-5.8541848957,6.3024641929,-6.1660984793,7.0365381600
13,30,-5.6019601299,6.3295148762,-4.4366961226,5.8226461689
30,39,-4.4366961226,5.8226461689,-4.4814332735,7.9952465920
39,61,-4.4814332735,7.9952465920,-3.8701116824,8.1209611139
30,92,-4.4366961226,5.8226461689,-5.4204996188,4.3733900666
0,2,0.0000000000,0.0000000000,-3.8896159706,-1.7969841099
2,3,-3.8896159706,-1.7969841099,8.8233666489,-2.8057875358
3,12,8.8233666489,-2.8057875358,1.0934433858,-3.5726580832
12,16,1.0934433858,-3.5726580832,5.0681719813,-5.1029837667
16,28,5.0681719813,-5.1029837667,0.8961183256,-8.5870544606
28,43,0.8961183256,-8.5870544606,3.7441446603,-7.8725410615
43,48,3.7441446603,-7.8725410615,3.3069669238,-8.3516492221
43,67,3.7441446603,-7.8725410615,7.4038932460,-6.4057214448
67,82,7.4038932460,-6.4057214448,7.1165701175,-6.4529690316
67,85,7.4038932460,-6.4057214448,6.4241986053,-5.7894363328
85,88,6.4241986053,-5.7894363328,5.5702357812,-5.1574698813
85,91,6.4241986053,-5.7894363328,6.3921754325,-5.6365849430
28,55,0.8961183256,-8.5870544606,-0.4528660190,-9.2157528918
55,66,-0.4528660190,-9.2157528918,1.0654920671,-8.2545900616
55,73,-0.4528660190,-9.2157528918,1.3520506822,-9.6453009637
16,33,5.0681719813,-5.1029837667,2.6916024986,-4.3690540522
33,86,2.6916024986,-4.3690540522,3.5536431212,-4.7237127622
12,20,1.0934433858,-3.5726580832,1.7389058656,-3.2462001374
20,53,1.7389058656,-3.2462001374,1.1741492484,-2.5803249574
53,63,1.1741492484,-2.5803249574,-0.5397562918,-2.4628026655
20,65,1.7389058656,-3.2462001374,2.1029717252,-2.3794392927
3,14,8.8233666489,-2.8057875358,6.6702470354,-2.4836521561
14,15,6.6702470354,-2.4836521561,9.3374533389,-0.8193367211
15,50,9.3374533389,-0.8193367211,8.7998101948,-0.1524947817
50,79,8.7998101948,-0.1524947817,8.7819480983,0.7651653470
14,17,6.6702470354,-2.4836521561,4.9110501329,-0.4398670655
17,34,4.9110501329,-0.4398670655,6.1602481344,0.3895457789
34,81,6.1602481344,0.3895457789,6.6748869869,-0.1560290671
81,89,6.6748869869,-0.1560290671,7.6588803239,-1.4550711920
17,80,4.9110501329,-0.4398670655,3.4817787229,-2.0762958993
2,4,-3.8896159706,-1.7969841099,-6.8816920355,-6.9920615372
4,9,-6.8816920355,-6.9920615372,-8.4331208833,-4.6614372519
9,11,-8.4331208833,-4.6614372519,-5.8413852266,-2.0237701722
11,21,-5.8413852266,-2.0237701722,-2.8880134099,0.1762531931
21,46,-2.8880134099,0.1762531931,-3.3703916675,-0.9161448716
46,71,-3.3703916675,-0.9161448716,-3.0208941330,-0.6885179834
21,75,-2.8880134099,0.1762531931,-2.1081036199,0.2939485434
11,36,-5.8413852266,-2.0237701722,-7.2821531339,-5.7768882046
36,100,-7.2821531339,-5.7768882046,-6.3644831704,-3.2688916630
9,26,-8.4331208833,-4.6614372519,-8.5431621310,-2.0047307070
26,47,-8.5431621310,-2.0047307070,-7.9948375365,-0.6525447921
